#{"t_start": 1737036539.011619, "env_id": "None"}
r,l,t
-842.6,100,0.597319
-822.7,100,0.673322
-674.0,100,0.731772
-717.5,100,0.815732
-745.7,100,0.878849
-760.3,100,0.935756
-878.0,100,0.994279
-678.2,100,1.050827
-940.5,100,1.104925
-782.8,100,1.159713
-824.8,100,1.213012
-952.7,100,1.266922
-855.9,100,1.336435
-748.2,100,1.390678
-961.5,100,1.445811
-647.1,100,1.504405
-576.4,100,1.560253
-620.4,100,1.61542
-944.3,100,1.668343
-815.4,100,1.722223
-851.1,100,2.283243
-724.6,100,2.341767
-422.2,100,2.400887
-579.4,100,2.461452
-554.6,100,2.520981
-709.5,100,2.576623
-871.5,100,2.631146
-701.3,100,2.686096
-821.3,100,2.741636
-691.3,100,2.797775
-791.0,100,2.852017
-919.6,100,2.905839
-722.6,100,2.963673
-608.1,100,3.023699
-696.7,100,3.08256
-845.4,100,3.139144
-791.5,100,3.194219
-447.7,100,3.250794
-611.8,100,3.305555
-877.8,100,3.359379
-696.0,100,3.9954
-540.3,100,4.055898
-692.8,100,4.113275
-788.1,100,4.170952
-780.2,100,4.226979
-865.3,100,4.281585
-1037.1,100,4.335334
-692.8,100,4.390714
-674.1,100,4.447953
-626.9,100,4.507836
-760.3,100,4.563966
-749.1,100,4.619063
-854.6,100,4.673719
-588.6,100,4.729665
-851.0,100,4.785095
-871.1,100,4.843483
-675.2,100,4.901763
-747.1,100,4.958942
-798.6,100,5.018091
-718.6,100,5.07416
-948.3,100,5.132554
-679.0,100,5.798907
-775.1,100,5.856559
-401.1,100,5.916853
-791.9,100,5.974898
-537.6,100,6.035028
-717.5,100,6.091383
-622.8,100,6.147354
-721.5,100,6.202803
-710.9,100,6.258355
-850.4,100,6.312785
-611.1,100,6.368552
-830.3,100,6.423402
-509.2,100,6.483681
-655.0,100,6.545766
-500.7,100,6.60609
-774.1,100,6.663362
-774.6,100,6.718437
-779.3,100,6.772609
-379.1,100,6.830508
-858.8,100,6.885281
-710.5,100,7.51231
-663.6,100,7.579191
-653.3,100,7.637444
-664.0,100,7.695965
-520.4,100,7.753879
-526.3,100,7.810549
-724.4,100,7.865842
-803.6,100,7.920343
-866.0,100,7.976756
-819.1,100,8.034243
-729.7,100,8.090267
-864.2,100,8.145119
-546.4,100,8.201508
-619.3,100,8.261521
-363.4,100,8.32495
-788.3,100,8.38662
-720.8,100,8.447061
-559.5,100,8.508186
-800.6,100,8.566202
-851.9,100,8.622686
-574.6,100,8.681745
-772.2,100,9.271961
-616.1,100,9.33077
-533.4,100,9.391393
-763.8,100,9.451953
-672.0,100,9.514361
-629.1,100,9.574668
-627.8,100,9.65261
-558.1,100,9.711557
-554.1,100,9.772365
-832.7,100,9.829013
-688.9,100,9.886651
-867.7,100,9.9451
-625.4,100,10.005445
-557.0,100,10.065375
-770.1,100,10.125177
-568.1,100,10.184043
-595.2,100,10.241191
-405.8,100,10.29823
-661.2,100,10.353921
-631.6,100,10.409479
-457.4,100,10.982529
-522.2,100,11.044095
-656.0,100,11.103408
-606.8,100,11.16178
-552.0,100,11.218571
-669.3,100,11.275408
-771.1,100,11.331235
-678.8,100,11.388173
-616.1,100,11.445096
-795.9,100,11.503562
-430.2,100,11.563276
-561.9,100,11.619371
-718.0,100,11.675098
-633.2,100,11.731312
-619.7,100,11.786912
-681.0,100,11.845731
-891.6,100,11.904144
-573.5,100,11.963763
-468.5,100,12.024007
-692.4,100,12.080602
-536.2,100,12.137885
-626.6,100,12.719246
-906.9,100,12.776871
-795.8,100,12.833953
-630.2,100,12.891742
-543.2,100,12.948941
-350.1,100,13.011167
-337.0,100,13.071424
-590.0,100,13.128056
-576.7,100,13.185194
-695.3,100,13.24182
-499.7,100,13.2986
-488.0,100,13.35491
-517.5,100,13.412309
-549.4,100,13.469152
-370.9,100,13.532353
-498.8,100,13.592516
-691.1,100,13.651194
-561.0,100,13.70817
-638.7,100,13.764352
-502.7,100,13.821682
-846.9,100,14.49273
-633.3,100,14.559252
-439.3,100,14.620864
-511.8,100,14.682418
-623.8,100,14.741859
-598.5,100,14.80308
-517.7,100,14.863489
-699.2,100,14.922478
-630.7,100,14.982218
-435.4,100,15.048006
-466.8,100,15.106785
-469.7,100,15.164423
-571.4,100,15.222013
-260.1,100,15.28441
-375.0,100,15.346533
-470.8,100,15.404175
-549.1,100,15.461457
-563.2,100,15.521143
-697.6,100,15.579709
-738.1,100,15.635443
-421.6,100,15.692708
-533.0,100,16.276785
-584.4,100,16.336063
-338.2,100,16.397017
-314.7,100,16.457302
-774.1,100,16.515464
-472.0,100,16.574982
-403.7,100,16.633651
-505.9,100,16.690344
-340.9,100,16.748322
-582.2,100,16.804711
-517.7,100,16.862387
-380.5,100,16.921116
-551.2,100,16.977316
-353.7,100,17.039775
-498.0,100,17.10093
-569.7,100,17.161779
-361.4,100,17.221896
-302.3,100,17.280888
-502.8,100,17.33763
-630.7,100,17.392986
-389.0,100,18.004105
-408.2,100,18.067243
-526.7,100,18.127839
-559.5,100,18.187247
-529.8,100,18.244462
-249.5,100,18.303107
-298.1,100,18.361654
-590.2,100,18.418098
-428.4,100,18.475026
-380.9,100,18.536562
-514.4,100,18.594398
-446.1,100,18.652251
-398.2,100,18.70964
-464.0,100,18.767874
-305.6,100,18.830045
-532.3,100,18.890295
-475.8,100,18.965654
-486.2,100,19.024868
-383.3,100,19.083668
-450.3,100,19.141546
-318.5,100,19.199947
-358.1,100,19.749356
-403.0,100,19.809721
-253.6,100,19.870351
-469.2,100,19.929296
-342.0,100,20.002542
-483.0,100,20.064077
-310.6,100,20.123429
-412.5,100,20.181603
-477.5,100,20.238784
-483.1,100,20.29621
-549.0,100,20.353422
-395.6,100,20.410771
-297.4,100,20.469102
-502.2,100,20.528931
-494.1,100,20.589455
-582.5,100,20.650326
-498.2,100,20.710923
-604.2,100,20.767802
-486.3,100,20.824576
-420.1,100,20.881676
-545.9,100,21.457517
-561.8,100,21.518079
-401.5,100,21.58203
-337.1,100,21.64238
-420.6,100,21.700194
-363.7,100,21.758551
-377.0,100,21.816313
-411.8,100,21.873862
-365.0,100,21.931682
-482.0,100,21.989508
-339.3,100,22.050326
-523.4,100,22.108496
-292.3,100,22.16677
-278.1,100,22.225297
-273.7,100,22.284431
-339.0,100,22.346603
-355.3,100,22.408171
-409.3,100,22.46532
-367.4,100,22.525663
-288.9,100,22.588496
-569.2,100,22.64531
-397.5,100,23.223089
-370.1,100,23.284952
-294.6,100,23.346401
-285.6,100,23.405788
-342.9,100,23.464074
-328.9,100,23.523822
-321.5,100,23.585753
-352.0,100,23.643634
-430.7,100,23.702193
-411.8,100,23.760568
-266.2,100,23.819199
-369.4,100,23.877387
-399.7,100,23.934946
-377.6,100,23.992652
-289.3,100,24.054671
-334.3,100,24.1171
-562.7,100,24.176496
-320.3,100,24.234194
-418.8,100,24.292098
-483.2,100,24.349712
-451.9,100,24.929642
-334.5,100,24.9913
-388.9,100,25.05418
-268.5,100,25.115711
-246.1,100,25.17542
-426.5,100,25.233136
-432.1,100,25.290835
-231.2,100,25.349997
-227.4,100,25.408763
-131.7,100,25.468135
-326.9,100,25.526618
-443.2,100,25.587261
-534.3,100,25.644546
-532.4,100,25.701746
-277.1,100,25.763382
-422.5,100,25.823972
-321.3,100,25.886023
-366.2,100,25.945022
-354.0,100,26.003649
-229.8,100,26.066201
-338.0,100,26.125329
-515.3,100,26.700856
-226.4,100,26.762451
-373.5,100,26.82327
-283.8,100,26.882902
-320.4,100,26.945067
-249.6,100,27.008547
-369.3,100,27.072624
-299.9,100,27.135215
-377.8,100,27.196938
-565.5,100,27.269913
-269.6,100,27.328669
-326.2,100,27.386879
-332.5,100,27.448067
-381.1,100,27.510929
-448.6,100,27.573331
-298.5,100,27.634947
-328.7,100,27.694346
-297.6,100,27.753254
-283.5,100,27.813366
-165.4,100,27.874353
-436.0,100,28.543831
-323.2,100,28.609076
-261.3,100,28.67475
-335.5,100,28.737711
-256.8,100,28.799735
-428.1,100,28.865203
-236.6,100,28.929073
-407.0,100,28.99163
-397.0,100,29.054321
-333.3,100,29.11707
-376.2,100,29.179121
-213.0,100,29.241123
-251.6,100,29.304481
-441.5,100,29.368932
-270.3,100,29.432044
-454.9,100,29.492489
-377.0,100,29.55303
-360.2,100,29.61287
-406.5,100,29.670887
-343.2,100,29.729001
-226.9,100,29.788316
-322.1,100,30.497252
-311.8,100,30.560014
-313.5,100,30.623784
-317.9,100,30.68678
-291.3,100,30.747167
-321.2,100,30.806169
-252.2,100,30.868065
-349.7,100,30.928844
-453.2,100,30.988271
