#{"t_start": 1737119876.4553668, "env_id": "None"}
r,l,t,invalid_share
-769.4,100,0.640211,0.13
-708.8,100,0.740056,0.11
-1031.9,100,0.83502,0.15
-786.9,100,0.895935,0.11
-899.5,100,0.954622,0.14
-814.4,100,1.015816,0.1
-918.1,100,1.071228,0.09
-836.4,100,1.128076,0.1
-830.5,100,1.185563,0.07
-886.9,100,1.242697,0.13
-891.6,100,1.29987,0.08
-627.5,100,1.35953,0.05
-829.3,100,1.417015,0.12
-597.1,100,1.474291,0.16
-750.1,100,1.53147,0.14
-596.9,100,1.59061,0.16
-863.9,100,1.648504,0.14
-815.9,100,1.704156,0.11
-844.0,100,1.762445,0.09
-760.0,100,1.821305,0.14
-823.5,100,2.479901,0.14
-773.5,100,2.538372,0.1
-778.0,100,2.59627,0.11
-776.8,100,2.654974,0.11
-802.3,100,2.715213,0.13
-770.2,100,2.775863,0.05
-674.0,100,2.834928,0.17
-873.3,100,2.892494,0.1
-555.9,100,2.952024,0.13
-630.2,100,3.011667,0.11
-606.3,100,3.070547,0.11
-526.8,100,3.128241,0.1
-824.5,100,3.188037,0.11
-686.2,100,3.248258,0.12
-756.0,100,3.307123,0.11
-998.4,100,3.36472,0.16
-759.1,100,3.425679,0.11
-758.1,100,3.48356,0.17
-909.1,100,3.538982,0.12
-815.0,100,3.59604,0.02
-887.2,100,4.243903,0.09
-708.9,100,4.305573,0.11
-845.5,100,4.366245,0.12
-522.2,100,4.426835,0.08
-553.0,100,4.488193,0.16
-353.3,100,4.549015,0.09
-685.7,100,4.606079,0.14
-682.3,100,4.663787,0.12
-498.9,100,4.725443,0.12
-866.8,100,4.785417,0.14
-526.0,100,4.845152,0.07
-636.2,100,4.903436,0.19
-838.2,100,4.962776,0.12
-668.6,100,5.022181,0.12
-869.2,100,5.0785,0.1
-740.0,100,5.135427,0.14
-618.2,100,5.201366,0.07
-752.4,100,5.26162,0.05
-563.8,100,5.321542,0.04
-912.9,100,5.379055,0.15
-696.4,100,5.437736,0.13
-741.4,100,6.093131,0.12
-568.6,100,6.154305,0.1
-794.7,100,6.213152,0.12
-745.2,100,6.27403,0.09
